instance_name,node_label,dof,event_type,first_source_file,first_occurrence_line,first_context,physical_component_category,proposed_action
POWERHOUSE_INSTALLATION_BAY_I,40,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,438,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_INSTALLATION_BAY_I.40 D.O.F. 3 RATIO = 274.469E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_INSTALLATION_BAY_I,41,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,442,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_INSTALLATION_BAY_I.41 D.O.F. 1 RATIO = 1.04529E+15.,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_INSTALLATION_BAY_I,41,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,446,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_INSTALLATION_BAY_I.41 D.O.F. 2 RATIO = 589.824E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_INSTALLATION_BAY_I,41,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,450,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_INSTALLATION_BAY_I.41 D.O.F. 3 RATIO = 4.51775E+15.,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_01_I,55,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,660,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_01_I.55 D.O.F. 3 RATIO = 447.611E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_01_I,59,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,664,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_01_I.59 D.O.F. 2 RATIO = 794.228E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_01_I,59,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,668,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_01_I.59 D.O.F. 3 RATIO = 32.8015E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_01_I,60,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,672,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_01_I.60 D.O.F. 1 RATIO = 88.2242E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_01_I,60,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,676,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_01_I.60 D.O.F. 2 RATIO = 436.474E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_01_I,60,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,680,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_01_I.60 D.O.F. 3 RATIO = 24.4561E+15 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_02_I,55,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,334,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_02_I.55 D.O.F. 3 RATIO = 207.715E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_02_I,59,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,338,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_02_I.59 D.O.F. 2 RATIO = 70.3746E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_02_I,59,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,342,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_02_I.59 D.O.F. 3 RATIO = 33.8219E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_02_I,60,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,346,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_02_I.60 D.O.F. 1 RATIO = 12.5739E+15 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_02_I,60,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,350,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_02_I.60 D.O.F. 2 RATIO = 45.2611E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_02_I,60,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,354,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_02_I.60 D.O.F. 3 RATIO = 1.31052E+15.,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_03_I,55,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1394,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_03_I.55 D.O.F. 3 RATIO = 295.174E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_03_I,59,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1398,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_03_I.59 D.O.F. 2 RATIO = 58.2468E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_03_I,59,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1402,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_03_I.59 D.O.F. 3 RATIO = 50.6089E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_03_I,60,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1406,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_03_I.60 D.O.F. 1 RATIO = 210.431E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_03_I,60,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1410,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_03_I.60 D.O.F. 2 RATIO = 33.1296E+15 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_03_I,60,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1414,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_03_I.60 D.O.F. 3 RATIO = 99.6009E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_04_I,49,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,358,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_04_I.49 D.O.F. 3 RATIO = 282.911E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_04_I,57,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,362,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_04_I.57 D.O.F. 2 RATIO = 440.146E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_04_I,57,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,366,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_04_I.57 D.O.F. 3 RATIO = 571.305E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_04_I,59,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,370,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_04_I.59 D.O.F. 1 RATIO = 634.773E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_04_I,59,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,374,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_04_I.59 D.O.F. 2 RATIO = 976.771E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_UNIT_04_I,59,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,378,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_UNIT_04_I.59 D.O.F. 3 RATIO = 549.826E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
RIGHT_BX01_I,6,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1346,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX01_I.6 D.O.F. 2 RATIO = 173.126E+12 .,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX01_I,13,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1350,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX01_I.13 D.O.F. 2 RATIO = 1.48849E+15.,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX01_I,13,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1354,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX01_I.13 D.O.F. 3 RATIO = 1.59366E+15.,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX01_I,14,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1358,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX01_I.14 D.O.F. 1 RATIO = 16.7341E+15 .,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX01_I,14,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1362,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX01_I.14 D.O.F. 2 RATIO = 486.446E+12 .,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX01_I,14,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1366,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX01_I.14 D.O.F. 3 RATIO = 1.94013E+15.,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX02_I,6,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,406,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX02_I.6 D.O.F. 2 RATIO = 4.81711E+15.,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX02_I,13,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,410,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX02_I.13 D.O.F. 2 RATIO = 139.732E+12 .,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX02_I,13,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,414,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX02_I.13 D.O.F. 3 RATIO = 528.432E+12 .,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX02_I,14,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,418,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX02_I.14 D.O.F. 1 RATIO = 5.97146E+15.,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX02_I,14,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,422,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX02_I.14 D.O.F. 2 RATIO = 855.683E+12 .,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX02_I,14,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,426,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX02_I.14 D.O.F. 3 RATIO = 1.48945E+15.,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX03_I,6,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,526,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX03_I.6 D.O.F. 2 RATIO = 2.20390E+15.,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX03_I,13,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,530,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX03_I.13 D.O.F. 2 RATIO = 5.63664E+15.,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX03_I,13,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,534,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX03_I.13 D.O.F. 3 RATIO = 608.343E+12 .,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX03_I,14,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,538,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX03_I.14 D.O.F. 1 RATIO = 1.66841E+15. | ***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY: THE MAXIMUM NUMBER OF,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX03_I,14,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1338,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX03_I.14 D.O.F. 2 RATIO = 369.402E+12 .,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_BX03_I,14,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1342,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_BX03_I.14 D.O.F. 3 RATIO = 1.93249E+15.,right/left-bank deformation body (D),suppress in core; retain only after actual overlap/support to bank geology is verified
RIGHT_CURTAIN_GROUTING_ZONE_I,68,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,458,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_CURTAIN_GROUTING_ZONE_I.68 D.O.F. 1 RATIO = 324.313E+12 .,main dam/foundation/geology (A),retain; repair only with shared nodes or a geometrically valid supporting interface
RIGHT_CURTAIN_GROUTING_ZONE_I,68,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,462,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_CURTAIN_GROUTING_ZONE_I.68 D.O.F. 2 RATIO = 3.13772E+12.,main dam/foundation/geology (A),retain; repair only with shared nodes or a geometrically valid supporting interface
RIGHT_CURTAIN_GROUTING_ZONE_I,69,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,454,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_CURTAIN_GROUTING_ZONE_I.69 D.O.F. 2 RATIO = 136.036E+09 .,main dam/foundation/geology (A),retain; repair only with shared nodes or a geometrically valid supporting interface
RIGHT_CURTAIN_GROUTING_ZONE_I,82,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,466,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_CURTAIN_GROUTING_ZONE_I.82 D.O.F. 1 RATIO = 473.547E+12 .,main dam/foundation/geology (A),retain; repair only with shared nodes or a geometrically valid supporting interface
RIGHT_CURTAIN_GROUTING_ZONE_I,82,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,470,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_CURTAIN_GROUTING_ZONE_I.82 D.O.F. 2 RATIO = 150.875E+12 .,main dam/foundation/geology (A),retain; repair only with shared nodes or a geometrically valid supporting interface
RIGHT_CURTAIN_GROUTING_ZONE_I,82,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,474,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | RIGHT_CURTAIN_GROUTING_ZONE_I.82 D.O.F. 3 RATIO = 83.4538E+12 .,main dam/foundation/geology (A),retain; repair only with shared nodes or a geometrically valid supporting interface
SPILLWAY_BAY_01_I,31,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,166,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_01_I.31 D.O.F. 3 RATIO = 269.269E+12 .,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_01_I,34,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,170,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_01_I.34 D.O.F. 1 RATIO = 54.1121E+12 .,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_01_I,34,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,174,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_01_I.34 D.O.F. 3 RATIO = 196.177E+12 .,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_01_I,38,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,178,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_01_I.38 D.O.F. 1 RATIO = 607.400E+12 .,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_01_I,38,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,182,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_01_I.38 D.O.F. 2 RATIO = 8.15137E+15.,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_01_I,38,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,186,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_01_I.38 D.O.F. 3 RATIO = 532.325E+12 .,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_02_I,31,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,190,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_02_I.31 D.O.F. 3 RATIO = 341.841E+12 .,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_02_I,34,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,194,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_02_I.34 D.O.F. 1 RATIO = 54.3485E+12 .,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_02_I,34,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,198,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_02_I.34 D.O.F. 3 RATIO = 220.056E+12 .,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_02_I,38,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,202,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_02_I.38 D.O.F. 1 RATIO = 5.85319E+15.,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_02_I,38,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,206,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_02_I.38 D.O.F. 2 RATIO = 1.95490E+15.,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_02_I,38,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,210,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_02_I.38 D.O.F. 3 RATIO = 1.32217E+15.,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_03_I,31,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1528,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_03_I.31 D.O.F. 3 RATIO = 341.841E+12 .,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_03_I,34,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1532,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_03_I.34 D.O.F. 1 RATIO = 54.3485E+12 .,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_03_I,34,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1536,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_03_I.34 D.O.F. 3 RATIO = 220.056E+12 .,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_03_I,38,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1540,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_03_I.38 D.O.F. 1 RATIO = 5.85319E+15.,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_03_I,38,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1544,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_03_I.38 D.O.F. 2 RATIO = 1.95490E+15.,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_03_I,38,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1548,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_03_I.38 D.O.F. 3 RATIO = 1.32217E+15.,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_04_I,31,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,636,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_04_I.31 D.O.F. 3 RATIO = 341.841E+12 .,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_04_I,34,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,640,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_04_I.34 D.O.F. 1 RATIO = 54.3485E+12 .,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_04_I,34,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,644,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_04_I.34 D.O.F. 3 RATIO = 220.056E+12 .,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_04_I,38,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,648,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_04_I.38 D.O.F. 1 RATIO = 5.85319E+15.,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_04_I,38,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,652,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_04_I.38 D.O.F. 2 RATIO = 1.95490E+15.,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_04_I,38,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,656,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_04_I.38 D.O.F. 3 RATIO = 1.32217E+15.,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_05_I,31,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1370,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_05_I.31 D.O.F. 3 RATIO = 341.841E+12 .,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
SPILLWAY_BAY_05_I,34,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1374,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | SPILLWAY_BAY_05_I.34 D.O.F. 1 RATIO = 54.3485E+12 .,spillway structure (B),suppress in core; restore spillway group with supporting-foundation contact/tie
